compressed_size_bytes,compression_time_s,filter_col,format,match_count,min_col,pattern,pattern_type,query_name,result_value,rows,runs,select_col,selectivity,target_selectivities,time_ms_median,time_ms_p95,variant
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column1,0.01,,12.109835995943286,12.67722700140439,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column1,0.1,,8.402264000324067,8.416584998485632,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column1,0.25,,8.306584000820294,8.472484005324077,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column1,0.5,,8.516084002621938,8.536363995517604,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column1,0.9,,8.598653999797534,8.694314994500019,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column4,0.01,,11.064536003686953,11.37534600275103,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column4,0.1,,8.96640500286594,9.469013995840214,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column4,0.25,,9.026525003719144,9.268235000490677,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column4,0.5,,9.036085000843741,9.107824000238907,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column4,0.9,,9.114444997976534,9.22362499841256,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column5,0.01,,3.795782999077346,3.8856410028529353,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column5,0.1,,3.8231330036069266,3.9410020035575144,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column5,0.25,,3.8281909946817905,3.9740029969834723,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column5,0.5,,3.324691999296192,3.4958019969053566,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selectivity,0,,7,column5,0.9,,3.614102999563329,3.729942000063602,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,full_scan_min,0,,7,column1,,,0.6443700040108524,0.6542800038005225,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,selective_predicate,80,,7,column1,,,0.9113609994528815,0.9361409975099377,duckdb_table
215915104,0.0,column4,duckdb,,column1,,,random_access,1,,7,column1,,,18.075450003379956,18.206289001682308,duckdb_table
215915104,0.0,column4,duckdb,37763,column1,Pro%,prefix,like_predicate,37763,,7,column2,0.007239015963100821,"0.01,0.1,0.25,0.5,0.9",4.021442000521347,4.351812996901572,duckdb_table
215915104,0.0,column4,duckdb,52719,column1,%ter,suffix,like_predicate,52719,,7,column2,0.010106021305476581,0.01,8.49012399703497,8.588295000663493,duckdb_table
215915104,0.0,column4,duckdb,684546,column1,%tes,suffix,like_predicate,684546,,7,column2,0.13122472847699637,"0.1,0.25,0.5,0.9",8.417633995122742,8.58620399958454,duckdb_table
215915104,0.0,column4,duckdb,47356,column1,%rio%,contains,like_predicate,47356,,7,column2,0.009077955669533736,0.01,8.467604006000329,8.640823994937818,duckdb_table
215915104,0.0,column4,duckdb,136843,column1,%erv%,contains,like_predicate,136843,,7,column2,0.02623225542034811,"0.1,0.25,0.5,0.9",8.442215003015008,8.507014004862867,duckdb_table
215915104,0.0,column4,duckdb,49926,column1,And%,prefix,like_predicate,49926,,7,column3,0.009570614383755834,0.01,2.3384909945889376,2.3950320028234273,duckdb_table
215915104,0.0,column4,duckdb,364770,column1,Xpe%,prefix,like_predicate,364770,,7,column3,0.0699249490999202,0.1,2.3876310006016865,2.4379319947911426,duckdb_table
215915104,0.0,column4,duckdb,1174489,column1,Gal%,prefix,like_predicate,1174489,,7,column3,0.2251448407035013,"0.25,0.5,0.9",2.411800996924285,2.4440409979433753,duckdb_table
215915104,0.0,column4,duckdb,51223,column1,%000,suffix,like_predicate,51223,,7,column3,0.009819244092839905,0.01,10.195784998359159,10.503145000257064,duckdb_table
215915104,0.0,column4,duckdb,195686,column1,%00),suffix,like_predicate,195686,,7,column3,0.037512223016056646,"0.1,0.25,0.5,0.9",10.288264995324425,10.64630499604391,duckdb_table
215915104,0.0,column4,duckdb,51612,column1,%ga %,contains,like_predicate,51612,,7,column3,0.009893813835965352,0.01,10.480934994120616,10.910955003055278,duckdb_table
215915104,0.0,column4,duckdb,365067,column1,%ria%,contains,like_predicate,365067,,7,column3,0.06998188281125248,"0.1,0.25,0.5,0.9",10.036094994575251,10.72423600271577,duckdb_table
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column1,0.01,,4.323162000218872,4.4010819983668625,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column1,0.1,,4.513243002293166,4.574022001179401,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column1,0.25,,4.856631996517535,5.11974300025031,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column1,0.5,,3.8458119961433113,4.043262000777759,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column1,0.9,,3.7619430004269816,3.8607120004598983,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column4,0.01,,4.561633002595045,4.841301000851672,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column4,0.1,,4.239542002324015,4.399861994897947,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column4,0.25,,4.271413003152702,4.547692005871795,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column4,0.5,,4.087533001438715,4.299822998291347,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column4,0.9,,3.953193001507316,4.22385099955136,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column5,0.01,,11.596256001212168,11.91182500042487,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column5,0.1,,8.343804001924582,10.70223499846179,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column5,0.25,,8.380343999306206,8.449383996776305,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column5,0.5,,8.428453998931218,8.509854000294581,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selectivity,0,,7,column5,0.9,,8.59915400360478,8.843304000038188,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,full_scan_min,0,,7,column1,,,2.3728000014671125,2.7008320030290633,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,selective_predicate,80,,7,column1,,,3.549503002432175,3.598661998694297,parquet_zstd
35069161,0.5212400010059355,column4,parquet,,column1,,,random_access,1,,7,column1,,,58.75501000264194,59.1919409998809,parquet_zstd
35069161,0.5212400010059355,column4,parquet,37763,column1,Pro%,prefix,like_predicate,37763,,7,column2,0.007239015963100821,"0.01,0.1,0.25,0.5,0.9",2.4997009968501516,2.5278009998146445,parquet_zstd
35069161,0.5212400010059355,column4,parquet,52719,column1,%ter,suffix,like_predicate,52719,,7,column2,0.010106021305476581,0.01,2.7443519938969985,2.8759920023730956,parquet_zstd
35069161,0.5212400010059355,column4,parquet,684546,column1,%tes,suffix,like_predicate,684546,,7,column2,0.13122472847699637,"0.1,0.25,0.5,0.9",2.8380319999996573,2.887851995183155,parquet_zstd
35069161,0.5212400010059355,column4,parquet,47356,column1,%rio%,contains,like_predicate,47356,,7,column2,0.009077955669533736,0.01,2.7399110040278174,2.7733210008591413,parquet_zstd
35069161,0.5212400010059355,column4,parquet,136843,column1,%erv%,contains,like_predicate,136843,,7,column2,0.02623225542034811,"0.1,0.25,0.5,0.9",2.7615419967332855,2.8083910001441836,parquet_zstd
35069161,0.5212400010059355,column4,parquet,49926,column1,And%,prefix,like_predicate,49926,,7,column3,0.009570614383755834,0.01,1.4328609977383167,1.4614410029025748,parquet_zstd
35069161,0.5212400010059355,column4,parquet,364770,column1,Xpe%,prefix,like_predicate,364770,,7,column3,0.0699249490999202,0.1,1.5781809997861274,1.5868199989199638,parquet_zstd
35069161,0.5212400010059355,column4,parquet,1174489,column1,Gal%,prefix,like_predicate,1174489,,7,column3,0.2251448407035013,"0.25,0.5,0.9",1.5191999991657212,1.5254710015142336,parquet_zstd
